parent_uid	child_uid	child_asset_type
L0C04GGTY	L0C04GGUH	.png.ldcc
L0C04GGTY	L0C04GGVH	.png.ldcc
L0C04GGTY	L0C04GGVK	.png.ldcc
L0C04GGTY	L0C04GGUK	.png.ldcc
L0C04GGTY	L0C04GGUL	.png.ldcc
L0C04GGTY	L0C04GGU4	.png.ldcc
L0C04GGTY	L0C04GGUJ	.png.ldcc
L0C04GGTY	L0C04GGUE	.png.ldcc
L0C04GGVZ	L0C04GGVJ	.png.ldcc
L0C04GGVZ	L0C04GGVM	.png.ldcc
L0C04GGVZ	L0C04GF81	.jpg.ldcc
L0C04GGVZ	L0C04GF80	.jpg.ldcc
L0C04GGVZ	L0C04GF7Z	.png.ldcc
L0C04GGVZ	L0C04GF7Y	.png.ldcc
L0C04GGVZ	L0C04GF7X	.png.ldcc
L0C04GGZB	L0C04GF7O	.png.ldcc
L0C04GGZB	L0C04GF7J	.png.ldcc
L0C04GGZB	L0C04GF7I	.png.ldcc
L0C04GGZB	L0C04GF7H	.jpg.ldcc
L0C04GGZB	L0C04GF7G	.png.ldcc
L0C04GGZB	L0C04GF7F	.jpg.ldcc
L0C04GGZB	L0C04GF7E	.png.ldcc
L0C04GGZB	L0C04GF7D	.png.ldcc
L0C04GGZB	L0C04GF7C	.png.ldcc
L0C04GGZB	L0C04GF7B	.jpg.ldcc
L0C04GGZB	L0C04GF7A	.jpg.ldcc
L0C04GGZB	L0C04GF79	.jpg.ldcc
L0C04GGZB	L0C04GF78	.png.ldcc
L0C04GGZB	L0C04GF77	.png.ldcc
L0C04GGZB	L0C04GF76	.png.ldcc
L0C04GGZB	L0C04GF75	.png.ldcc
L0C04GHDU	L0C04GF74	.jpg.ldcc
L0C04GHDU	L0C04GF73	.jpg.ldcc
L0C04GHDU	L0C04GF72	.jpg.ldcc
L0C04GHFL	L0C04GF71	.jpg.ldcc
L0C04GHFL	L0C04GF70	.png.ldcc
L0C04GHFL	L0C04GF6Z	.jpg.ldcc
L0C04GHFL	L0C04GF6Y	.jpg.ldcc
